,latitude,longitude,vehicle,direction,route
0,33.657661,-84.5040779,1472,Northbound,66
1,33.7722467,-84.2512465,1529,Southbound,121
2,33.760439,-84.3445013,1433,Eastbound,102
3,33.6577997,-84.2855256,1625,Southbound,15
4,33.7891053,-84.4412121,1906,Southbound,66
5,33.6316728,-84.4579822,1808,Southbound,192
6,33.9444546,-84.3573767,1572,Northbound,185
7,33.7907454,-84.4439586,1480,Southbound,87
8,33.7700409,-84.2957238,2494,Westbound,107
9,33.8582481,-84.1815916,1510,Northbound,121
10,33.7891197,-84.3868937,1454,Southbound,110
11,33.6780951,-84.4400554,1868,Eastbound,84
12,33.8344722,-84.2500577,2584,Westbound,116
13,33.7722716,-84.2522515,7051,Southbound,125
14,33.7839722,-84.2673506,2591,Westbound,86
15,33.6522466,-84.4483191,1885,Southbound,172
16,33.5085709,-84.3565578,2558,Southbound,191
17,33.6779003,-84.4405549,1819,Eastbound,181
18,33.7696642,-84.2967849,1551,Westbound,21
19,33.7831582,-84.267018,1629,Southbound,6
20,33.7877102,-84.4226554,1409,Westbound,186
21,33.7543406,-84.3919709,1484,Southbound,816
22,33.5898469,-84.408921,1612,Northbound,196
23,33.7942133,-84.2635997,1635,Northbound,6
24,33.7828762,-84.2681115,2492,Westbound,116
25,33.6612762,-84.413718,1835,Northbound,193
26,33.7992637,-84.2188291,1519,Northbound,121
27,33.8992979,-84.4477557,1584,Southbound,185
28,33.810664,-84.4775155,1907,Westbound,26
29,33.7747542,-84.2971989,1615,Northbound,15
30,33.723511,-84.507951,1656,Westbound,71
31,33.7725349,-84.2526726,1437,Eastbound,21
32,33.6738125,-84.2717733,1648,Northbound,15
33,33.7177919,-84.4258763,1884,Southbound,55
34,33.7536015,-84.3920984,2585,Eastbound,26
35,33.5031026,-84.3566636,7024,Southbound,193
36,33.7832812,-84.236687,1607,Southbound,121
37,33.7311125,-84.4395255,1662,Eastbound,71
38,33.569725,-84.562336,1852,Southbound,49
39,33.6507106,-84.4484331,1802,Northbound,89
40,33.735016,-84.5579288,1673,Southbound,73
41,33.7538319,-84.3922286,1832,Northbound,55
42,33.7541188,-84.4694802,1665,Northbound,73
43,33.714852,-84.2128004,1543,Eastbound,186
44,33.8492249,-84.1951661,1525,Northbound,121
45,33.6980836,-84.4931646,1581,Northbound,66
46,33.7542771,-84.4698144,2557,Southbound,60
47,33.9023598,-84.2801109,7047,Northbound,39
48,33.9143648,-84.422255,1444,Northbound,87
49,33.7573465,-84.5019627,1655,Southbound,73
50,33.6562901,-84.4049025,2576,Southbound,193
51,33.7545663,-84.4690243,1461,Northbound,66
52,33.6175345,-84.4489084,7046,Southbound,196
53,33.5499959,-84.4149335,1876,Northbound,89
54,33.8169855,-84.3896291,1442,Northbound,110
55,33.7712643,-84.3866141,1687,Eastbound,50
56,33.7526625,-84.3932018,1909,Southbound,42
57,33.6757764,-84.4474989,1810,Eastbound,181
58,33.5546218,-84.363226,1803,Southbound,193
59,33.8231802,-84.3697954,1715,Southbound,39
60,33.7725989,-84.4290204,1657,Westbound,50
61,33.7559861,-84.3524503,1424,Westbound,74
62,33.819166,-84.3603325,2531,Northbound,110
63,33.6886012,-84.3370582,1805,Southbound,191
64,33.7892546,-84.4976053,1659,Eastbound,50
65,33.801106,-84.4245972,2526,Southbound,110
66,33.6297952,-84.4541963,1717,Northbound,196
67,33.7357149,-84.4134701,1450,Southbound,40
68,33.5660967,-84.5828632,1816,Westbound,181
69,33.7543154,-84.3921393,1620,Westbound,21
70,33.7354454,-84.4133386,1668,Eastbound,71
71,33.5515929,-84.6010737,2578,Northbound,180
72,33.7021934,-84.1732675,1431,Eastbound,117
73,34.0052365,-84.335885,1589,Southbound,185
74,33.7889792,-84.3865023,1479,Northbound,40
75,33.7025956,-84.4694903,1817,Eastbound,83
76,33.6779767,-84.4400516,1917,Northbound,42
77,33.7647428,-84.3129694,1622,Southbound,19
78,33.7958129,-84.3244643,1487,Northbound,816
79,33.8797324,-84.3797219,7014,Northbound,5
80,33.666011,-84.4766128,1875,Westbound,84
81,33.7197682,-84.5208426,1682,Westbound,71
82,33.7367178,-84.4133713,1916,Northbound,95
83,33.6710307,-84.3083223,1608,Southbound,15
84,33.8230955,-84.3716788,1460,Southbound,5
85,33.6784801,-84.4399849,1926,Westbound,78
86,33.7517573,-84.3851085,1532,Westbound,107
87,33.9214746,-84.3442126,7013,Northbound,5
88,33.5794635,-84.3833178,1705,Northbound,196
89,33.7637938,-84.4461773,1588,Eastbound,51
90,33.7152978,-84.3833971,1830,Northbound,55
91,33.8688322,-84.4777626,1901,Northbound,5
92,33.8346674,-84.3824433,1462,Northbound,110
93,33.7718652,-84.3865473,1463,Eastbound,51
94,33.7655908,-84.2926484,7050,Northbound,15
95,33.6580598,-84.5022401,1826,Westbound,82
96,33.7979607,-84.2228878,1626,Southbound,121
97,33.8596462,-84.3392864,1563,Northbound,110
98,33.6247342,-84.4735531,1840,Southbound,89
99,33.7532667,-84.391486,1871,Northbound,49
100,33.5697281,-84.5623937,1851,Eastbound,181
101,33.7762794,-84.2671174,1410,Westbound,111
102,33.7720536,-84.3867481,1550,Westbound,102
103,33.7536981,-84.3920975,1828,Northbound,55
104,33.5616413,-84.5873471,1823,Westbound,181
105,33.7695241,-84.2288288,1637,Westbound,111
106,33.6505082,-84.4484113,7029,Northbound,89
107,33.6449443,-84.4517225,1839,Eastbound,84
108,33.6481382,-84.4618986,1847,Eastbound,82
109,33.9892971,-84.3416755,1684,Southbound,87
110,33.7358902,-84.4133823,1928,Northbound,81
111,33.7713319,-84.3909142,1569,Eastbound,50
112,33.6744163,-84.4084671,1846,Northbound,95
113,33.6154848,-84.5002794,1825,Eastbound,181
114,33.8476897,-84.3676033,1587,Southbound,110
115,33.6782077,-84.439776,2572,Southbound,192
116,33.7764619,-84.426084,2527,Westbound,26
117,33.6929997,-84.4912577,1452,Southbound,66
118,33.7050497,-84.1148343,1614,Eastbound,116
119,33.851912,-84.2087633,1539,Southbound,121
120,33.5722231,-84.4085155,1863,Southbound,191
121,33.7889873,-84.3867344,1471,Southbound,110
122,33.6959882,-84.3894629,7021,Southbound,178
123,33.7690666,-84.230045,1404,Eastbound,107
124,33.761548,-84.2540128,1552,Westbound,86
125,33.5629692,-84.4133216,1702,Northbound,196
126,33.8278059,-84.2515738,1638,Northbound,125
127,33.815481,-84.466452,1671,Northbound,60
128,33.7101008,-84.2038824,2575,Westbound,111
129,33.7804571,-84.2383531,7060,Northbound,121
130,33.7639743,-84.5331492,7017,Southbound,73
131,33.9511593,-84.3681036,1903,Southbound,87
132,33.7725571,-84.4285424,2518,Eastbound,26
133,33.754367,-84.4699582,1441,Westbound,51
134,33.7889822,-84.4404096,1464,Eastbound,51
135,35.3564698,-88.8822501,1469,Northbound,87
136,33.7814922,-84.4044651,1475,Southbound,12
137,33.6994674,-84.1171869,1631,Westbound,116
138,33.7856281,-84.237001,1553,Eastbound,117
139,33.6839493,-84.5005003,2573,Eastbound,83
140,33.5174137,-84.6698065,1862,Southbound,180
141,33.8230266,-84.3696656,7057,Southbound,39
142,33.7856645,-84.2391644,2493,Westbound,117
143,33.7229707,-84.5021812,1666,Eastbound,71
144,33.6758234,-84.4396759,1932,Northbound,192
145,33.699149,-84.0993732,1520,Westbound,115
146,33.8015433,-84.3098962,1645,Northbound,19
147,33.5642348,-84.3710566,1857,Northbound,192
148,33.7176318,-84.2155512,1602,Eastbound,111
149,33.5330501,-84.3642024,1881,Southbound,192
150,33.7472476,-84.3022614,1642,Westbound,21
151,33.7549678,-84.5458848,1467,Northbound,73
152,33.7475693,-84.3494856,1611,Eastbound,21
153,33.8026919,-84.458123,2586,Westbound,26
154,33.7066991,-84.3000239,1425,Westbound,74
155,33.7638648,-84.4029785,1458,Westbound,51
156,33.8483539,-84.2008734,1438,Northbound,121
157,33.7232757,-84.393312,2588,Southbound,55
158,33.5959344,-84.4070669,1883,Northbound,191
159,33.656438,-84.49923,2502,Southbound,66
160,33.7185136,-84.27568,7053,Southbound,15
161,33.6982061,-84.4182536,1911,Southbound,42
162,33.691606,-84.0892776,1527,Westbound,111
163,33.6969259,-84.4851307,1867,Westbound,83
164,33.7749408,-84.4475535,1653,Eastbound,50
165,33.7864914,-84.2199531,7039,Westbound,117
166,33.7352033,-84.4133419,1683,Eastbound,71
167,33.8525492,-84.3182014,7038,Southbound,39
168,33.6811734,-84.3955464,1929,Westbound,78
169,33.8176177,-84.4157649,7009,Northbound,12
170,33.7852969,-84.2685492,2581,Southbound,125
171,33.6475457,-84.4499916,1879,Westbound,82
172,33.8169976,-84.1827184,1515,Westbound,120
173,33.7356172,-84.3492558,7045,Northbound,4
174,33.7948803,-84.3509134,1486,Northbound,816
175,33.7350069,-84.4139918,1661,Westbound,71
176,33.7324857,-84.4382586,1672,Westbound,71
177,33.6369074,-84.4618276,1813,Northbound,180
178,33.7726995,-84.2948448,1534,Southbound,15
179,33.8071424,-84.3356784,1618,Southbound,6
180,33.7331154,-84.2510219,1503,Eastbound,86
181,33.6813216,-84.4128834,2311,Eastbound,78
182,33.6513448,-84.4890908,1809,Eastbound,84
183,33.7063892,-84.1305699,1434,Eastbound,86
184,33.8895378,-84.3815248,7004,Southbound,5
185,33.7181871,-84.2752898,1554,Northbound,15
186,33.9189821,-84.3510447,7006,Northbound,87
187,33.7021149,-84.1741693,1516,Westbound,86
188,33.7544563,-84.2682329,1641,Eastbound,21
189,33.7579806,-84.3876099,1449,Northbound,40
190,33.8348912,-84.3385941,1710,Northbound,39
191,33.6814045,-84.4181686,1827,Westbound,78
192,33.8885319,-84.3043511,1413,Northbound,19
193,33.8148174,-84.3500906,1430,Northbound,6
194,33.7532432,-84.2325449,1547,Westbound,107
195,33.6893312,-84.5072806,1872,Westbound,83
196,33.8595084,-84.3101141,7062,Northbound,39
197,33.7623112,-84.5084501,1679,Northbound,73
198,33.8781628,-84.4690689,1565,Northbound,12
199,33.9189535,-84.3651049,7010,Southbound,87
200,33.7397621,-84.3575962,1523,Westbound,107
201,33.8148461,-84.3666763,1575,Southbound,5
202,33.6892752,-84.390582,1842,Northbound,178
203,33.7880867,-84.470455,1560,Southbound,60
204,33.7417126,-84.1672469,1414,Eastbound,117
205,33.8257798,-84.3525713,1707,Southbound,39
206,33.6989803,-84.0992614,1411,Eastbound,115
207,33.7645374,-84.3492074,1521,Northbound,6
208,33.8133113,-84.3075635,1435,Southbound,19
209,33.714894,-84.2126649,1647,Eastbound,186
210,33.7816777,-84.4845054,1456,Westbound,50
211,33.7597739,-84.1763403,1427,Eastbound,116
212,33.6981288,-84.4081356,1918,Southbound,95
213,33.7064929,-84.4572407,1914,Northbound,81
214,33.724184,-84.1766926,1417,Westbound,115
215,33.7434205,-84.3491659,1633,Westbound,74
216,33.5836287,-84.5498651,1849,Southbound,180
217,33.7526289,-84.4693629,1670,Southbound,73
218,33.8235722,-84.3674593,1685,Northbound,5
219,33.7721968,-84.2518564,7043,Westbound,115
220,33.6500795,-84.4483601,1716,Southbound,196
221,33.7721762,-84.2517604,1426,Eastbound,115
222,33.7174851,-84.4277941,1869,Westbound,83
223,33.7098134,-84.2715319,1415,Westbound,186
224,33.8781888,-84.4680378,1674,Southbound,12
225,33.7033266,-84.3530899,7030,Northbound,49
226,33.5690247,-84.5377931,1877,Northbound,89
227,33.5703875,-84.4026969,1708,Southbound,196
228,33.8860346,-84.2879065,1714,Northbound,39
229,33.7014812,-84.4265903,1931,Northbound,42
230,33.7533569,-84.3915594,1601,Westbound,186
231,33.5683286,-84.4033948,1831,Southbound,89
232,33.740965,-84.3982671,1812,Northbound,49
233,33.5700579,-84.5384615,7023,Southbound,89
234,33.7387531,-84.2874774,1541,Eastbound,107
235,33.7523478,-84.3918999,1457,Southbound,40
236,33.7379987,-84.2543719,1526,Westbound,107
237,33.7761216,-84.2815193,1605,Westbound,120
238,33.7118996,-84.3909767,1951,Southbound,42
239,33.7640347,-84.445787,1447,Westbound,51
240,33.6979262,-84.1568959,1517,Eastbound,117
241,33.740197,-84.347528,1405,Eastbound,107
242,33.8188356,-84.2303871,1504,Eastbound,120
243,33.7814011,-84.3886861,7005,Northbound,12
244,33.7368277,-84.217904,1501,Eastbound,107
245,33.8807791,-84.2911016,1706,Southbound,39
246,33.6513721,-84.2435995,1652,Northbound,15
247,33.7233576,-84.3494752,1548,Southbound,4
248,33.7264118,-84.5903128,1567,Southbound,73
249,33.7763794,-84.280547,1419,Eastbound,117
250,33.9030415,-84.2791484,1549,Eastbound,124
251,33.7405961,-84.3983358,1843,Southbound,49
252,33.8177106,-84.3892257,1664,Southbound,110
253,33.7657942,-84.3973946,1453,Eastbound,26
254,33.7598077,-84.1800741,1535,Westbound,116
255,33.5663106,-84.4130113,7049,Eastbound,186
256,33.7175362,-84.4263379,1870,Eastbound,83
257,33.7349681,-84.1685301,1538,Westbound,117
258,33.7713457,-84.3860443,1412,Westbound,2
259,33.8264243,-84.2565246,1610,Southbound,125
260,33.6523839,-84.4486082,1864,Northbound,180
261,33.6761697,-84.4404721,1949,Westbound,181
262,33.7543675,-84.4814621,1574,Northbound,73
263,33.7025737,-84.3522475,1807,Southbound,49
